Time (s),Sensor Value
2.364100933074951,-0.11
2.4583139419555664,-0.14
2.552548885345459,0.09
2.6467628479003906,0.17
2.7409417629241943,-0.00
2.8351497650146484,0.01
2.9293599128723145,-0.02
3.0235657691955566,-0.04
3.117776870727539,-0.03
3.2160258293151855,-0.02
3.310297727584839,-0.13
3.4044737815856934,0.02
3.4986886978149414,0.02
3.5928878784179688,-0.01
3.687067985534668,-0.02
3.7812469005584717,0.08
3.8755006790161133,0.04
3.969674825668335,0.01
4.063900947570801,0.05
4.162097930908203,-0.03
4.256392002105713,-0.04
4.350587844848633,0.04
4.444787979125977,0.11
4.538999795913696,0.09
4.633203029632568,0.04
4.727401971817017,0.12
4.821607828140259,0.15
4.91581392288208,-0.02
5.014021873474121,0.02
5.108303785324097,0.20
5.2025158405303955,0.16
5.296721935272217,0.05
5.390912771224976,0.07
5.485134840011597,0.22
5.579317808151245,0.14
5.673511981964111,0.14
5.7677319049835205,0.15
5.866003036499023,0.11
5.960281848907471,0.13
6.05447793006897,0.11
6.148655891418457,0.17
6.24284291267395,0.20
6.337049961090088,0.09
6.431308746337891,-0.01
6.525442838668823,0.16
6.619671821594238,0.14
6.717878818511963,0.15
6.81219482421875,0.12
6.906301975250244,0.08
7.000555753707886,0.10
7.094780921936035,0.17
7.18900990486145,0.19
7.283176898956299,0.21
7.377368927001953,0.15
7.471573829650879,0.16
7.569828748703003,0.19
7.664101839065552,0.25
7.75829291343689,0.25
